job_title,salary_usd,salary_currency,salary_local,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,benefits_score,company_name
Deep Learning Engineer,195373,CHF,175836,SE,FL,Switzerland,M,Switzerland,100,"PyTorch, Git, Tableau",Associate,7,Finance,7.2,Cloud AI Solutions
AI Software Engineer,150038,AUD,202551,SE,CT,Australia,M,Australia,100,"SQL, TensorFlow, Mathematics, Python",Master,8,Automotive,5.8,Autonomous Tech
AI Software Engineer,46960,USD,46960,EN,PT,South Korea,S,Chile,100,"NLP, Azure, Data Visualization",PhD,1,Government,9.1,Autonomous Tech
Research Scientist,256508,EUR,218032,EX,FL,Germany,L,Germany,0,"R, Data Visualization, Docker, Scala, Deep Learning",Associate,14,Government,7.0,DeepTech Ventures
Principal Data Scientist,123766,GBP,92825,MI,CT,United Kingdom,L,United Kingdom,50,"Python, TensorFlow, R, Computer Vision, PyTorch",Bachelor,4,Retail,5.9,Neural Networks Co
Data Analyst,138655,EUR,117857,SE,PT,Germany,L,Germany,50,"Deep Learning, NLP, Kubernetes, Hadoop",Master,9,Technology,6.2,Digital Transformation LLC
AI Software Engineer,112307,EUR,95461,MI,FT,Netherlands,M,Vietnam,0,"Python, Azure, Linux, TensorFlow, Java",Associate,3,Government,9.4,Future Systems
AI Product Manager,75008,USD,75008,EX,FT,India,L,New Zealand,50,"PyTorch, TensorFlow, Spark, Tableau, Scala",Bachelor,15,Retail,8.0,Algorithmic Solutions
Robotics Engineer,72038,USD,72038,MI,CT,South Korea,S,South Korea,50,"Python, Docker, AWS, GCP",PhD,3,Energy,5.3,DeepTech Ventures
AI Software Engineer,141038,USD,141038,SE,CT,Finland,M,Finland,100,"Statistics, MLOps, Python, Linux, Deep Learning",Bachelor,6,Transportation,7.3,Algorithmic Solutions
AI Research Scientist,113496,USD,113496,SE,CT,Israel,S,Israel,50,"R, Spark, TensorFlow",PhD,9,Real Estate,8.3,Neural Networks Co
Computer Vision Engineer,100144,EUR,85122,SE,FL,France,S,France,0,"Tableau, PyTorch, TensorFlow",PhD,8,Healthcare,5.8,Cloud AI Solutions
AI Research Scientist,210470,SGD,273611,EX,PT,Singapore,M,Singapore,0,"PyTorch, Azure, Hadoop, Java",Bachelor,12,Real Estate,8.3,Autonomous Tech
Head of AI,66974,CAD,83718,MI,FT,Canada,S,Canada,100,"Python, Docker, TensorFlow, PyTorch",Master,3,Media,7.4,Future Systems
Autonomous Systems Engineer,137007,EUR,116456,SE,FT,Netherlands,L,Malaysia,100,"Scala, Computer Vision, SQL, PyTorch, Azure",Associate,8,Government,6.7,Cognitive Computing
Machine Learning Engineer,80135,USD,80135,MI,CT,Ireland,S,Ireland,50,"Data Visualization, GCP, AWS, SQL, NLP",PhD,4,Government,8.8,Smart Analytics
Research Scientist,158546,EUR,134764,SE,FT,Netherlands,M,Netherlands,50,"SQL, Hadoop, R, Computer Vision, Docker",Associate,9,Manufacturing,9.9,Algorithmic Solutions
Deep Learning Engineer,194317,USD,194317,EX,FT,Denmark,M,Denmark,100,"Git, GCP, Tableau, Kubernetes",Bachelor,19,Energy,7.2,Digital Transformation LLC
Head of AI,83493,EUR,70969,MI,CT,Netherlands,M,Netherlands,50,"Java, Spark, GCP",Master,2,Automotive,6.9,Predictive Systems
Data Analyst,104222,USD,104222,EN,FT,United States,L,Malaysia,100,"Spark, SQL, Azure, Git, Hadoop",PhD,1,Government,5.3,AI Innovations
Autonomous Systems Engineer,49854,USD,49854,MI,CT,China,L,China,100,"Python, Hadoop, Computer Vision, Spark, Kubernetes",Master,4,Automotive,6.9,Cloud AI Solutions
Autonomous Systems Engineer,158519,CAD,198149,EX,CT,Canada,M,Canada,50,"SQL, PyTorch, Mathematics, Hadoop, AWS",Bachelor,14,Government,9.8,TechCorp Inc
Autonomous Systems Engineer,180734,USD,180734,SE,PT,United States,L,United States,50,"Java, Python, Linux",Master,6,Technology,6.3,Machine Intelligence Group
ML Ops Engineer,261993,USD,261993,EX,PT,Ireland,L,Russia,0,"SQL, GCP, Mathematics, NLP",Master,11,Telecommunications,5.4,Cognitive Computing
Robotics Engineer,98054,USD,98054,SE,FT,Finland,M,Finland,0,"PyTorch, SQL, Git, MLOps, AWS",Associate,9,Gaming,9.8,DataVision Ltd
AI Product Manager,82903,USD,82903,MI,PT,South Korea,M,South Korea,50,"Mathematics, Docker, NLP",Bachelor,4,Gaming,8.2,Algorithmic Solutions
AI Software Engineer,121557,USD,121557,MI,FL,Ireland,L,Ireland,100,"Kubernetes, Scala, Statistics, GCP",PhD,4,Education,8.2,Cognitive Computing
Data Analyst,172640,USD,172640,SE,FT,Norway,S,Norway,50,"Linux, Kubernetes, SQL",PhD,6,Manufacturing,6.7,DataVision Ltd
AI Product Manager,122704,EUR,104298,SE,FT,France,M,France,50,"Azure, Tableau, SQL, GCP, Git",PhD,9,Retail,9.2,Future Systems
Deep Learning Engineer,60832,JPY,6691520,EN,CT,Japan,S,Japan,0,"Tableau, Java, Python, Azure",Bachelor,1,Transportation,5.8,AI Innovations
AI Research Scientist,134265,USD,134265,EX,FL,South Korea,L,South Korea,0,"Kubernetes, GCP, Mathematics, AWS",Associate,19,Media,7.2,Cloud AI Solutions
Machine Learning Engineer,65618,USD,65618,EN,FT,Denmark,S,Thailand,100,"R, Linux, Hadoop, Git, Computer Vision",Bachelor,1,Gaming,5.4,Neural Networks Co
NLP Engineer,104745,GBP,78559,SE,FL,United Kingdom,S,Denmark,100,"Docker, Linux, Data Visualization, R",Bachelor,7,Government,9.3,DataVision Ltd
AI Software Engineer,53253,GBP,39940,EN,FL,United Kingdom,S,United Kingdom,50,"PyTorch, Spark, TensorFlow, Azure, Hadoop",Master,0,Technology,9.0,Cloud AI Solutions
Computer Vision Engineer,166691,JPY,18336010,EX,PT,Japan,S,Japan,100,"Mathematics, Deep Learning, Scala, R, PyTorch",Master,14,Automotive,7.0,DeepTech Ventures
Computer Vision Engineer,146267,CAD,182834,EX,PT,Canada,M,Canada,0,"Scala, R, Docker",PhD,10,Gaming,7.0,DeepTech Ventures
AI Consultant,97969,USD,97969,SE,FT,Finland,M,Finland,0,"Spark, PyTorch, MLOps, Tableau",PhD,9,Energy,9.7,Advanced Robotics
Principal Data Scientist,206614,CAD,258268,EX,PT,Canada,M,Ireland,100,"Hadoop, R, Kubernetes",Bachelor,14,Government,6.2,Machine Intelligence Group
Data Analyst,78327,EUR,66578,MI,FT,Austria,M,Austria,0,"Data Visualization, NLP, Mathematics",PhD,3,Consulting,5.7,AI Innovations
Robotics Engineer,70510,EUR,59934,EN,PT,Austria,L,Turkey,0,"R, Python, TensorFlow, Tableau, Statistics",Bachelor,0,Gaming,7.1,DataVision Ltd
Data Analyst,41791,USD,41791,SE,FT,India,M,India,100,"Linux, SQL, Mathematics, Hadoop",Bachelor,7,Media,9.7,Algorithmic Solutions
AI Consultant,115800,EUR,98430,MI,FL,Austria,L,Luxembourg,50,"Python, TensorFlow, Spark, PyTorch",Bachelor,3,Media,7.9,Digital Transformation LLC
Machine Learning Engineer,113860,USD,113860,SE,PT,Finland,L,Sweden,100,"SQL, PyTorch, Python, Docker",Associate,6,Healthcare,8.5,AI Innovations
Data Analyst,181595,USD,181595,SE,FT,United States,L,United States,100,"Docker, PyTorch, Data Visualization, Hadoop, Spark",Master,7,Automotive,8.7,Digital Transformation LLC
AI Product Manager,157567,EUR,133932,EX,FT,Austria,L,Israel,50,"Azure, Hadoop, Java, Deep Learning",Associate,18,Finance,5.6,Quantum Computing Inc
Autonomous Systems Engineer,124885,EUR,106152,MI,FL,Netherlands,L,Netherlands,0,"Linux, AWS, Spark, SQL, PyTorch",PhD,4,Automotive,9.2,Smart Analytics
NLP Engineer,123910,USD,123910,EX,FL,Ireland,S,Ireland,50,"PyTorch, Tableau, Computer Vision, Git",Bachelor,16,Transportation,8.0,Neural Networks Co
AI Specialist,137838,USD,137838,SE,FL,Sweden,L,Belgium,0,"Mathematics, MLOps, Tableau, Kubernetes, Python",PhD,8,Gaming,7.8,Cloud AI Solutions
Data Engineer,313735,USD,313735,EX,FT,Denmark,M,Denmark,0,"NLP, Linux, Kubernetes",Associate,12,Healthcare,6.7,Neural Networks Co
Computer Vision Engineer,96380,USD,96380,EN,PT,Denmark,M,Ireland,50,"Kubernetes, Python, Statistics",Bachelor,0,Media,9.0,Digital Transformation LLC
Data Engineer,63171,EUR,53695,EN,CT,Netherlands,M,Netherlands,100,"Scala, Hadoop, AWS",Bachelor,0,Automotive,8.8,AI Innovations
AI Specialist,123969,USD,123969,SE,FT,Sweden,S,Sweden,0,"SQL, PyTorch, GCP",Bachelor,9,Energy,9.8,Quantum Computing Inc
Data Analyst,54611,EUR,46419,EN,CT,France,M,France,0,"Python, Linux, TensorFlow, Computer Vision, PyTorch",PhD,0,Technology,9.0,Machine Intelligence Group
Machine Learning Engineer,119705,USD,119705,MI,PT,Denmark,L,Switzerland,0,"MLOps, Python, R, AWS, Docker",Bachelor,3,Education,7.2,Quantum Computing Inc
Autonomous Systems Engineer,173697,CHF,156327,SE,FL,Switzerland,S,China,50,"Python, AWS, Scala",Associate,9,Media,8.2,Algorithmic Solutions
Data Scientist,144553,AUD,195147,SE,CT,Australia,L,South Korea,0,"Data Visualization, R, Linux, MLOps",PhD,6,Telecommunications,5.8,AI Innovations
Research Scientist,76409,GBP,57307,MI,FL,United Kingdom,S,Brazil,50,"AWS, Hadoop, PyTorch",Master,2,Government,8.3,DataVision Ltd
NLP Engineer,105022,AUD,141780,SE,FT,Australia,M,Japan,0,"Mathematics, Python, Data Visualization, Deep Learning, GCP",PhD,8,Government,8.4,Cognitive Computing
Data Engineer,147919,AUD,199691,SE,PT,Australia,L,Australia,0,"TensorFlow, Linux, Azure, Mathematics",Bachelor,8,Manufacturing,7.6,Neural Networks Co
Data Engineer,105054,CHF,94549,EN,CT,Switzerland,L,Switzerland,100,"Azure, Java, Data Visualization",Master,0,Technology,5.3,Advanced Robotics
AI Architect,168883,USD,168883,EX,PT,South Korea,S,South Korea,50,"PyTorch, Spark, R, TensorFlow",Bachelor,17,Government,5.5,TechCorp Inc
AI Architect,54905,USD,54905,EN,PT,Finland,S,Malaysia,50,"SQL, Python, Azure, Hadoop, Mathematics",PhD,0,Government,6.6,Machine Intelligence Group
Data Scientist,73214,USD,73214,EX,CT,China,M,China,50,"SQL, Statistics, PyTorch, AWS",Bachelor,19,Government,8.6,Future Systems
Computer Vision Engineer,75589,USD,75589,MI,PT,South Korea,S,South Korea,50,"Python, Statistics, Computer Vision, Linux",Bachelor,4,Automotive,7.2,Digital Transformation LLC
Robotics Engineer,104795,CHF,94316,EN,CT,Switzerland,M,Japan,50,"Deep Learning, TensorFlow, Python, Linux, Java",Master,1,Telecommunications,6.6,Future Systems
AI Architect,19456,USD,19456,EN,CT,India,S,India,0,"Java, GCP, AWS, Deep Learning, Spark",Associate,1,Automotive,9.7,Autonomous Tech
Data Engineer,212599,EUR,180709,EX,FT,Austria,S,Austria,50,"Python, Docker, SQL, Linux",Master,13,Automotive,10.0,DeepTech Ventures
AI Research Scientist,63226,JPY,6954860,EN,CT,Japan,M,Japan,0,"Hadoop, Python, TensorFlow, Deep Learning",Bachelor,1,Government,6.7,Cloud AI Solutions
AI Architect,188891,USD,188891,SE,PT,United States,L,Portugal,0,"Python, SQL, Linux",Master,5,Automotive,5.8,DeepTech Ventures
Head of AI,45335,USD,45335,EN,FT,South Korea,S,South Korea,100,"NLP, SQL, Java, MLOps, Kubernetes",Bachelor,0,Manufacturing,6.3,Predictive Systems
NLP Engineer,114078,GBP,85559,MI,CT,United Kingdom,M,United Kingdom,50,"Java, TensorFlow, GCP",PhD,4,Technology,6.5,Digital Transformation LLC
AI Software Engineer,221905,USD,221905,EX,FL,Norway,L,Norway,0,"Hadoop, Scala, SQL",Bachelor,16,Gaming,5.9,Algorithmic Solutions
Principal Data Scientist,34898,USD,34898,MI,FL,China,M,China,100,"Kubernetes, Linux, Git, SQL, R",PhD,4,Retail,7.1,AI Innovations
Autonomous Systems Engineer,288283,USD,288283,EX,FL,Ireland,L,Vietnam,50,"Tableau, Statistics, Spark, Kubernetes, Git",Master,17,Consulting,7.1,Cloud AI Solutions
Robotics Engineer,75188,USD,75188,MI,FT,Ireland,M,Ukraine,50,"Python, Git, Azure",Associate,3,Government,9.0,TechCorp Inc
Principal Data Scientist,87149,USD,87149,EN,FL,Denmark,S,Italy,50,"Azure, Kubernetes, Docker, SQL, Data Visualization",Associate,1,Real Estate,7.4,TechCorp Inc
Robotics Engineer,91150,USD,91150,MI,CT,Norway,S,Norway,50,"Java, Python, Computer Vision",PhD,4,Retail,7.0,Quantum Computing Inc
Research Scientist,126040,AUD,170154,SE,FL,Australia,S,Australia,50,"Docker, SQL, Mathematics, Spark",Master,9,Manufacturing,9.9,DeepTech Ventures
AI Research Scientist,187737,USD,187737,EX,FT,Sweden,L,Sweden,0,"Java, R, Mathematics, Computer Vision",PhD,15,Government,7.0,Machine Intelligence Group
AI Product Manager,125535,USD,125535,MI,PT,United States,M,United States,0,"Hadoop, PyTorch, Scala, GCP",Bachelor,3,Retail,7.7,TechCorp Inc
AI Product Manager,373536,USD,373536,EX,FL,Norway,L,Norway,100,"NLP, Kubernetes, Spark",Master,10,Technology,9.4,DeepTech Ventures
Deep Learning Engineer,100732,CHF,90659,EN,FT,Switzerland,M,Switzerland,100,"Tableau, Python, Hadoop, Kubernetes",PhD,1,Media,10.0,Predictive Systems
Data Engineer,212371,GBP,159278,EX,FT,United Kingdom,L,United Kingdom,50,"Java, Kubernetes, Tableau, Hadoop, Scala",Bachelor,15,Consulting,9.5,Autonomous Tech
AI Software Engineer,65466,EUR,55646,EN,PT,Germany,L,Germany,0,"Mathematics, PyTorch, Statistics",Master,1,Finance,8.2,Quantum Computing Inc
Computer Vision Engineer,109204,SGD,141965,MI,PT,Singapore,M,Nigeria,50,"Mathematics, Data Visualization, MLOps, Tableau",Associate,3,Retail,5.3,AI Innovations
Data Engineer,72736,JPY,8000960,MI,CT,Japan,S,Germany,50,"R, Python, Data Visualization, PyTorch",Associate,2,Telecommunications,8.9,AI Innovations
Autonomous Systems Engineer,20520,USD,20520,EN,FL,India,M,Israel,100,"R, Spark, Hadoop, Kubernetes, GCP",Associate,0,Gaming,8.9,Cloud AI Solutions
AI Architect,158930,USD,158930,EX,PT,Ireland,M,Ireland,100,"Spark, PyTorch, Mathematics",PhD,19,Transportation,7.9,DeepTech Ventures
Principal Data Scientist,76074,CHF,68467,EN,FT,Switzerland,M,Switzerland,100,"Scala, Spark, MLOps",Master,0,Gaming,6.0,Cognitive Computing
Machine Learning Researcher,59343,EUR,50442,EN,FT,France,S,France,0,"NLP, Mathematics, Kubernetes, Computer Vision, Tableau",Bachelor,1,Government,8.2,Advanced Robotics
Data Scientist,104447,USD,104447,MI,CT,United States,S,United States,100,"Deep Learning, Data Visualization, AWS, TensorFlow, Scala",Bachelor,2,Technology,8.4,Neural Networks Co
AI Software Engineer,43120,USD,43120,MI,PT,China,M,China,50,"AWS, Docker, NLP",Bachelor,4,Automotive,8.9,DataVision Ltd
Machine Learning Engineer,219852,EUR,186874,EX,FL,Austria,L,Austria,100,"Hadoop, Kubernetes, TensorFlow, GCP",Associate,14,Healthcare,6.6,DataVision Ltd
Data Engineer,40164,USD,40164,SE,CT,India,S,India,0,"Scala, Kubernetes, Git, Docker",Bachelor,7,Telecommunications,5.9,Digital Transformation LLC
Data Analyst,164110,SGD,213343,EX,FT,Singapore,S,Singapore,50,"SQL, Git, GCP",Associate,15,Gaming,7.8,Future Systems
Machine Learning Researcher,33846,USD,33846,MI,PT,China,S,China,100,"PyTorch, Hadoop, Statistics, AWS, Computer Vision",Bachelor,2,Transportation,6.8,Digital Transformation LLC
Data Engineer,126266,USD,126266,MI,PT,Sweden,L,Sweden,100,"PyTorch, Spark, TensorFlow",Master,4,Energy,6.6,Machine Intelligence Group
Head of AI,98327,USD,98327,MI,PT,United States,L,United States,50,"R, Data Visualization, Mathematics",Associate,4,Education,5.1,Neural Networks Co
Data Scientist,77366,GBP,58025,MI,PT,United Kingdom,S,Japan,50,"Python, TensorFlow, NLP, Azure, AWS",PhD,3,Automotive,5.6,Cognitive Computing
ML Ops Engineer,76129,USD,76129,EN,FL,Denmark,S,Indonesia,50,"Hadoop, PyTorch, MLOps",Master,0,Education,7.8,Cloud AI Solutions
AI Product Manager,134331,CHF,120898,MI,PT,Switzerland,L,Switzerland,100,"Java, Mathematics, TensorFlow",Associate,2,Energy,10.0,DeepTech Ventures
Data Engineer,56083,EUR,47671,EN,FL,Austria,M,Austria,0,"Python, Statistics, SQL, R, Linux",Master,1,Transportation,6.4,AI Innovations
Robotics Engineer,147444,USD,147444,EX,CT,Finland,S,Finland,0,"Scala, Spark, Java",PhD,15,Technology,5.6,Cloud AI Solutions
AI Product Manager,92983,USD,92983,EN,CT,Norway,S,Ghana,50,"TensorFlow, Scala, GCP, Git",PhD,0,Education,7.8,Neural Networks Co
ML Ops Engineer,83859,EUR,71280,EN,FL,Austria,L,Austria,50,"Tableau, Hadoop, PyTorch",Bachelor,1,Real Estate,8.2,Predictive Systems
NLP Engineer,84786,EUR,72068,MI,FL,Germany,M,Ukraine,0,"Java, Linux, Statistics, Git",Master,2,Transportation,9.2,Digital Transformation LLC
Computer Vision Engineer,154829,EUR,131605,EX,CT,Germany,S,Kenya,100,"Tableau, AWS, Hadoop, Kubernetes, Git",Bachelor,11,Energy,5.4,DataVision Ltd
Machine Learning Engineer,216967,GBP,162725,EX,FT,United Kingdom,S,Chile,0,"R, Scala, NLP, Git, Docker",Bachelor,12,Education,8.6,Future Systems
Computer Vision Engineer,90170,USD,90170,MI,PT,Ireland,L,Ireland,100,"Git, TensorFlow, Deep Learning",Bachelor,3,Transportation,5.6,TechCorp Inc
AI Software Engineer,59279,SGD,77063,EN,PT,Singapore,M,Singapore,0,"Python, TensorFlow, PyTorch, Linux",Associate,1,Education,9.2,Cloud AI Solutions
AI Specialist,85165,USD,85165,EX,FL,China,L,China,100,"MLOps, Spark, Azure, TensorFlow",Bachelor,19,Automotive,6.6,Digital Transformation LLC
Machine Learning Researcher,58417,EUR,49654,EN,PT,Netherlands,S,United States,100,"Spark, Docker, GCP, Statistics, Python",PhD,1,Technology,8.4,Smart Analytics
Research Scientist,160456,EUR,136388,EX,CT,Netherlands,M,Netherlands,100,"Python, TensorFlow, MLOps, Spark, R",Master,11,Manufacturing,5.4,Autonomous Tech
Robotics Engineer,29590,USD,29590,EN,FT,China,S,South Korea,0,"Linux, Data Visualization, Java, Hadoop, NLP",Bachelor,1,Retail,5.4,TechCorp Inc
Deep Learning Engineer,242489,GBP,181867,EX,CT,United Kingdom,S,United Kingdom,0,"MLOps, Hadoop, Python, Mathematics, Docker",Bachelor,19,Telecommunications,5.8,Algorithmic Solutions
ML Ops Engineer,136042,GBP,102032,SE,FT,United Kingdom,S,Austria,0,"Scala, Kubernetes, Linux, AWS",Bachelor,8,Gaming,8.7,Future Systems
AI Software Engineer,104200,CAD,130250,SE,FT,Canada,M,Canada,100,"Linux, Kubernetes, Scala",Master,9,Gaming,6.3,Advanced Robotics
Principal Data Scientist,137878,EUR,117196,SE,CT,Germany,L,Latvia,50,"R, SQL, Tableau, MLOps, Kubernetes",Master,7,Manufacturing,7.2,Cognitive Computing
ML Ops Engineer,187710,USD,187710,SE,PT,Denmark,M,Denmark,50,"Git, NLP, SQL",Bachelor,8,Consulting,7.4,Algorithmic Solutions
AI Software Engineer,50439,USD,50439,SE,CT,India,M,India,100,"Spark, Python, TensorFlow, Statistics, Java",Master,7,Telecommunications,7.7,Algorithmic Solutions
AI Architect,29300,USD,29300,EN,FT,India,L,India,50,"Tableau, R, MLOps",PhD,1,Media,8.5,Algorithmic Solutions
Machine Learning Engineer,93689,USD,93689,EX,FT,China,S,China,0,"Python, TensorFlow, Mathematics, Kubernetes, Docker",Associate,18,Real Estate,8.3,Smart Analytics
Data Analyst,182500,USD,182500,EX,FL,United States,M,United States,0,"Mathematics, MLOps, Azure",Associate,16,Automotive,9.6,Neural Networks Co
Robotics Engineer,149041,AUD,201205,SE,FL,Australia,L,Australia,0,"PyTorch, TensorFlow, Scala, Git",PhD,8,Education,7.2,Digital Transformation LLC
Computer Vision Engineer,43748,EUR,37186,EN,PT,France,S,Mexico,50,"Deep Learning, Java, SQL, Git, Docker",PhD,0,Education,9.5,AI Innovations
Principal Data Scientist,54185,EUR,46057,EN,FT,Germany,S,India,0,"Computer Vision, PyTorch, Scala, GCP",Master,0,Telecommunications,6.8,TechCorp Inc
NLP Engineer,69436,USD,69436,EX,PT,India,M,India,100,"Data Visualization, Kubernetes, Python",Associate,19,Automotive,8.4,Neural Networks Co
Data Analyst,103188,USD,103188,EN,PT,United States,L,United States,0,"Git, Spark, Python, Java, GCP",PhD,1,Transportation,5.6,Smart Analytics
AI Research Scientist,116739,CHF,105065,EN,CT,Switzerland,L,Switzerland,0,"Data Visualization, Java, Hadoop",Bachelor,0,Education,6.3,Future Systems
Deep Learning Engineer,73367,EUR,62362,EN,FL,Austria,M,Austria,0,"AWS, SQL, Tableau, PyTorch",Bachelor,1,Gaming,6.3,Predictive Systems
Data Engineer,72979,JPY,8027690,EN,CT,Japan,S,Japan,50,"PyTorch, R, Docker, GCP, Azure",Associate,1,Retail,6.5,Neural Networks Co
Data Engineer,193939,USD,193939,EX,PT,Israel,M,Israel,100,"TensorFlow, Python, Hadoop, Tableau, Data Visualization",Bachelor,12,Technology,8.6,DeepTech Ventures
Research Scientist,151333,USD,151333,EX,FL,Ireland,M,Ireland,50,"Kubernetes, R, Statistics, GCP, Scala",Master,19,Gaming,5.8,Cognitive Computing
Data Scientist,63229,USD,63229,SE,CT,China,S,China,100,"Scala, Java, Statistics, AWS, Kubernetes",Associate,6,Education,9.8,Cognitive Computing
Principal Data Scientist,188397,CHF,169557,SE,FT,Switzerland,S,Netherlands,50,"Git, PyTorch, AWS, Docker, GCP",Master,7,Healthcare,9.6,AI Innovations
Robotics Engineer,102987,USD,102987,MI,FT,Denmark,M,Denmark,0,"Python, GCP, MLOps, Azure, Hadoop",PhD,4,Retail,6.5,DataVision Ltd
AI Specialist,226210,USD,226210,SE,FT,Denmark,L,Denmark,50,"PyTorch, Scala, TensorFlow, AWS, Deep Learning",PhD,9,Manufacturing,5.6,Future Systems
AI Architect,18309,USD,18309,EN,FL,India,S,India,100,"PyTorch, Deep Learning, TensorFlow",Associate,0,Media,7.6,DeepTech Ventures
AI Software Engineer,210459,USD,210459,EX,CT,Israel,S,Israel,0,"Python, Computer Vision, NLP, Azure, Java",Master,17,Government,6.9,Advanced Robotics
Robotics Engineer,70962,USD,70962,SE,CT,China,M,China,0,"Computer Vision, SQL, Linux",Associate,6,Consulting,5.3,Machine Intelligence Group
AI Research Scientist,71103,EUR,60438,MI,PT,Netherlands,S,New Zealand,0,"R, AWS, Kubernetes, Linux, Mathematics",Bachelor,3,Healthcare,8.7,Predictive Systems
Computer Vision Engineer,94344,USD,94344,EN,FT,Denmark,M,Argentina,50,"AWS, Tableau, SQL, PyTorch",Master,0,Education,8.1,Predictive Systems
Autonomous Systems Engineer,31310,USD,31310,EN,FT,China,M,China,100,"Tableau, Kubernetes, Scala",Bachelor,0,Healthcare,6.8,DataVision Ltd
AI Product Manager,186865,USD,186865,EX,PT,Ireland,L,Ireland,100,"Data Visualization, Python, TensorFlow, AWS",PhD,17,Technology,8.0,Cognitive Computing
AI Product Manager,22689,USD,22689,EN,CT,India,S,India,50,"Deep Learning, SQL, MLOps, Data Visualization, Git",Bachelor,0,Finance,5.1,DataVision Ltd
AI Product Manager,71875,USD,71875,EX,FT,China,M,China,50,"Hadoop, SQL, Data Visualization, TensorFlow",PhD,17,Healthcare,8.7,DataVision Ltd
AI Specialist,91093,USD,91093,EN,FT,Denmark,M,Denmark,50,"Tableau, SQL, Python",Master,1,Finance,7.4,Cloud AI Solutions
NLP Engineer,59983,USD,59983,MI,CT,South Korea,S,Colombia,50,"SQL, PyTorch, Tableau, Kubernetes",Master,3,Finance,9.6,Smart Analytics
AI Specialist,315917,CHF,284325,EX,FL,Switzerland,M,Switzerland,50,"Statistics, SQL, Tableau, Computer Vision, Docker",PhD,13,Media,7.4,Predictive Systems
Robotics Engineer,49015,USD,49015,EN,FT,Ireland,S,Ireland,100,"Scala, Data Visualization, SQL, MLOps",Bachelor,1,Healthcare,5.1,Predictive Systems
NLP Engineer,45174,USD,45174,EN,CT,South Korea,M,South Korea,50,"Python, Scala, SQL",Associate,0,Consulting,5.7,Quantum Computing Inc
Head of AI,124375,USD,124375,MI,FL,Norway,L,Norway,0,"SQL, Computer Vision, Git, GCP, PyTorch",Master,3,Transportation,6.1,TechCorp Inc
Principal Data Scientist,24919,USD,24919,EN,CT,India,M,Indonesia,0,"TensorFlow, Tableau, GCP",Associate,0,Gaming,7.3,Predictive Systems
AI Architect,103196,EUR,87717,SE,FL,Austria,M,Austria,50,"SQL, Java, Kubernetes, Deep Learning",Master,9,Automotive,8.0,DataVision Ltd
Computer Vision Engineer,101200,USD,101200,EN,FL,Norway,M,Norway,100,"SQL, Computer Vision, PyTorch, Git, Tableau",Bachelor,1,Government,6.9,Advanced Robotics
Data Scientist,146547,USD,146547,SE,FT,Finland,L,Canada,100,"TensorFlow, NLP, Mathematics, Tableau, Kubernetes",Bachelor,9,Automotive,6.9,Machine Intelligence Group
Autonomous Systems Engineer,72296,USD,72296,SE,CT,China,L,China,50,"Scala, AWS, NLP, Git, Python",Associate,8,Automotive,9.8,Algorithmic Solutions
ML Ops Engineer,63430,USD,63430,EN,FL,United States,S,Thailand,50,"GCP, Deep Learning, PyTorch, AWS",PhD,0,Automotive,6.9,Machine Intelligence Group
Computer Vision Engineer,266480,USD,266480,EX,FT,Israel,L,Israel,100,"SQL, Python, Tableau, Statistics",Bachelor,16,Consulting,6.4,Predictive Systems
Computer Vision Engineer,115622,EUR,98279,SE,CT,Austria,S,Austria,0,"Spark, Hadoop, Data Visualization, MLOps, Azure",Master,6,Transportation,7.9,DataVision Ltd
NLP Engineer,59313,USD,59313,SE,FT,India,L,Philippines,0,"Data Visualization, GCP, Linux, Computer Vision",Master,7,Manufacturing,7.3,AI Innovations
Research Scientist,106901,EUR,90866,MI,FL,Germany,L,Germany,50,"TensorFlow, Python, Statistics",PhD,3,Manufacturing,5.8,Smart Analytics
NLP Engineer,179377,EUR,152470,EX,CT,Netherlands,S,Nigeria,0,"Data Visualization, GCP, Scala, R, AWS",Associate,11,Technology,6.3,Algorithmic Solutions
Data Engineer,98356,USD,98356,MI,CT,Sweden,M,Sweden,0,"NLP, PyTorch, Scala, Deep Learning",Associate,2,Technology,6.0,Autonomous Tech
Data Analyst,143818,SGD,186963,SE,PT,Singapore,L,Singapore,100,"Data Visualization, Linux, TensorFlow, Statistics",Bachelor,8,Manufacturing,8.0,DeepTech Ventures
AI Research Scientist,148765,CAD,185956,SE,PT,Canada,L,Canada,50,"Computer Vision, PyTorch, SQL",Associate,6,Gaming,6.4,Quantum Computing Inc
Research Scientist,88116,USD,88116,EN,FT,Norway,S,Singapore,0,"R, NLP, GCP",PhD,1,Telecommunications,6.7,Predictive Systems
Robotics Engineer,49914,USD,49914,EN,FL,South Korea,S,South Korea,50,"Hadoop, Python, Computer Vision",PhD,0,Telecommunications,6.9,Quantum Computing Inc
Autonomous Systems Engineer,39015,USD,39015,EN,PT,China,L,China,0,"R, Linux, SQL, PyTorch",PhD,0,Automotive,6.3,Digital Transformation LLC
AI Architect,88810,GBP,66608,MI,FL,United Kingdom,L,Russia,0,"Tableau, Scala, Spark",PhD,4,Finance,9.9,Predictive Systems
